SMILES,SMILES_state,NLL
O=C(c1cccs1)N1CCCN(c2cnccn2)CC1,1,12.5
CCCCCc1nc2c(=N)[nH]c(=N)cnc2n1CC,1,25.1
O=C(c1ccoc1)N1CCCN(C(=O)c2ccccn2)CC1,1,13.75
O=C(c1cccc(C(=O)N2CCCCC2)c1)N1CCCCCC1,1,14.85
O=C(NCc1coc(-c2cccs2)n1)c1cnccc1Cl,1,17.68
O=C(NC1CCN(C(=O)c2cncc(-c3cccnc3)n2)CC1)c1cncc(Cl)c1,1,14.8
O=C(COc1cccnc1)N1CCN(Cc2cccnc2)CC1,1,16.33
O=C(CCc1ccc(C(F)(F)F)nc1)NCc1ccncn1,1,16.12
COc1cncc(C(=O)N2CCC(NC(=O)c3cccs3)CC2)c1,1,11.7
CCn1ccnc1CN1CCCN(C(=O)c2cccc(Cl)c2)CC1,1,13.37
CC(=O)N1CC2CCC1CN(C(=O)c1cccnc1)C2,1,18.09
CCCc1c[nH]c(CN2CCCN(C(=O)c3cncc(C)c3)CC2)n1,1,22.21
O=C(c1cccnc1)N1CCCN(C(=O)c2ccc(Cl)cn2)CC1,1,9.94
O=C(c1cscn1)N1CCCN(CCc2ccccn2)CC1,1,11.31
Cn1cccc1C(=O)N1CCN(CCc2ccncc2)CC1,1,13.1
Cc1ccc(CCNC(=O)c2cc(-c3ncccc3C(F)(F)F)co2)s1,1,20.91
CCc1nc(CN2CCN(C(=O)c3cccnc3)CC2)co1,1,6.96
CN1CCN(C(=O)c2cc(C3CCCC3)on2)CC1,1,13.42
COc1ccc(CCC(C)NC(=O)c2ccncn2)cc1,1,10.13
O=C(c1cccnc1)N1CCCN(C(=O)c2cccs2)CC1,1,11.85
CC(NC(=O)c1scc(S(C)(=O)=O)c1Cl)c1ccccn1,1,24.9
CCN(CCc1ccccn1)C(=O)c1cnccc1OC,1,16.11
Cc1cc(C(=O)N2CCC(C)C3CCCCC32)no1,1,19.25
CCC1CCCCN1C(=O)c1cc(-c2ccsc2)co1,1,21.66
Cc1ncccc1C(=O)N1CCCN(CC(N)=O)CC1,1,15.4
COc1ccccc1CN1CCCN(C(=O)c2ccon2)CC1,1,14.77
CCCOc1cc(C(=O)NC2CCN(C(=O)OC)CC2)cc(C(F)(F)F)c1,1,19.63
CCn1ccnc1CN1CCCN(C(=O)c2ccco2)CC1,1,11.09
CCNC(=O)c1cc(C(=O)c2ccco2)c[nH]1,1,16.38
O=C(c1cccnc1)N1CCCC(c2cnccn2)CC1,1,10.66
CC(NC(=O)c1ccccn1)c1ccc(C(F)(F)F)nc1,1,12.21
O=C(NC1CCCN(c2cnccn2)C1)c1ccno1,1,22.14
O=C(c1cccc(Cl)n1)N1CCC(c2cncc(-c3cncc(C(F)(F)F)c3)n2)C1,1,24.45
O=C1CCCc2cc(CNC(=O)c3cccnc3)ccc2N1,1,20.03
O=C(NCC(c1cccnc1)N1CCOCC1)c1cccc(C(F)(F)F)c1,1,14.75
COc1ccc(F)c(CN2CCN(C(=O)c3ccco3)CC2)c1,1,20.24
O=C(c1cn(-c2ccncc2)cc1-c1cccnc1)N1CCCCCC1,1,20.15
O=C(c1cnc(Cl)cn1)N1CCCC(c2ccncc2)CC1,1,17.73
COc1cncc(C(=O)NCCc2cscn2)c1,1,12.78
NC(=O)c1cc(C2CCCN(C(=O)c3ccc(Cl)nc3)C2)n[nH]1,1,18.25
CC(C)(NC(=O)c1cncc(-c2ccc(Cl)cn2)n1)c1cccnc1,1,20.6
CCC(C)NC(=O)c1cnc(Cl)cn1,1,11.2
CCC(C)(C)NC(=O)c1cnccc1C1CCN(C(=O)c2cncc(Cl)c2)CC1,1,22.88
O=C(c1cccnc1)N1CCCN(Cc2cccnc2)CC1,1,9.19
CC(=O)N1CCc2[nH]c3ccc(C(=O)NC(C)c4ccncc4)cc3c2CC1,1,21.34
O=C(c1ccc(-c2ccncc2)cc1)N1CCCCC1,1,12.43
O=C(c1cccnc1)N1CCN(Cc2cccn2Cc2ccon2)CC1,1,16.6
O=C(c1cccc(-c2ncco2)n1)N1CCC(c2ccncc2)CC1,1,13.89
CC(C)(C)NC(=O)c1cccn1Cc1cccc(-n2cc(Cl)cn2)c1,1,23.39
O=C(NC1CCN(C(=O)c2ccc(Cl)cn2)CC1)c1ccncc1Cl,1,15.67
O=C(NC1CCCN(C(=O)N2CCCC2)C1)c1ccno1,1,19.56
Cc1csc(=NC(=O)c2cc(Cl)c(Cl)cn2)[nH]1,1,13.71
O=C(NCC(c1ccccc1)c1cccnc1)c1ccncc1Cl,1,15.49
CCOC(=O)C1CCN(c2ncnc(N(C)c3cncnc3)c2F)CC1,1,27.99
O=C(NCCNC(=O)c1cc(Cl)ccn1)c1ccncc1,1,11.9
O=C(NC1CCN(C(=O)c2ccccn2)CC1)c1cncc(Cl)c1,1,10.83
CCN(CC)c1cncc(C2CCN(C(C)=O)CC2)n1,1,16.68
O=C(NC1CCCCC1NC(=O)c1ccnc(Cl)c1)c1cccnc1,1,14.68
O=C(NC1CCN(C(=O)c2cccnc2)CC1)c1cnc(C(F)(F)F)s1,1,13.96
O=C(NC1CCCCC1)c1csc(C(=O)c2cccnc2)c1,1,24.12
CC(NC(=O)c1ccccn1)c1ccnc(C2CCCC2)c1,1,18.44
O=C(NCCCc1cccnc1)c1ccncc1Cl,1,12.92
O=C(c1cncc(F)c1)N1CCCN(Cc2cccnc2)CC1,1,12.38
O=C(NCc1cnccn1)c1ccc(-c2ccc(Cl)cn2)nc1,1,15.05
O=C(c1ncc(Cc2ccncc2)s1)N1CCC(F)(F)CC1,1,17.69
Cc1cc(C(=O)NCCc2ccccn2)cc(-c2ccc(Cl)cn2)n1,1,18.32
Cc1ccoc1C(=O)N1CCC(c2cnc(-c3ccccn3)cn2)CC1,1,25.83
Cc1cncc(C(=O)N2CCN(c3cncc(C(F)(F)F)n3)CC2)n1,1,25.82
CCOc1ccc(F)cc1C(=O)Nc1cccnc1,1,20.33
CCN1CCCN(C(=O)c2cc(-c3ccc(C)nn3)ccn2)CC1,1,24.62
O=C(c1cc(Cl)cc(Cl)c1)N1CCN(Cc2ccon2)CC1,1,15.37
COc1ccc(F)cc1C(=O)NCC(=O)Nc1cccc(F)c1,1,32.23
Cc1ccc(-c2cc(C(=O)N3CCCCCC3)[nH]c(=N)n2)cn1,1,17.56
Cc1cc(C(C)C)cc(C(=O)N2CCCC2)n1,1,16.49
CC1CCN(C(=O)c2ncc(Cl)cn2)CC1,1,17.12
O=C(c1cccnc1)N1CCCN(C2CCCN(C(=O)c3cccnc3)C2)CC1,1,12.65
O=C(c1cccnc1)c1c[nH]c(C(=O)N2CCOCC2)c1,1,11.79
Cc1ccc(C(=O)N2CCCC(NC(=O)c3cnccn3)CC2)nc1,1,15.48
O=C(NCCc1cnccn1)c1ccc(Cl)nc1,1,10.51
Cc1occ(Cl)c1C(=O)NCCN1CCCCC1,1,13.05
O=C(NCCc1ccncc1Cl)c1cncc(Cl)c1,1,8.83
c1cc(-c2cc(N3CCCCC3)ncn2)ccn1,1,13.29
CCNC(=O)C1CCN(Cc2coc(-c3ccco3)n2)CC1,1,18.19
Cc1cc(CCCNC(=O)c2ncc(Cl)cn2)[nH]c(=N)c1,1,20.84
Cn1ccnc1CN1CCCN(C(=O)c2ccco2)CC1,1,12.18
Cc1cc(-c2nc(C(=O)N3CCC(c4nccs4)CC3)c(Cl)cc2Cl)sn1,1,28.33
CC1=NC(C)=C(C(=O)N2CCOCC2)CC1c1cccc(C(N)=O)n1,1,24.48
